"","SurveyType","UniqueID_long","UniqueID_short","TimeTaken","StartDate","StartTime","CompletionDate","CompletionTime","Q1_aware_stork","Q2_photo_recog","Q2_photo_recog_score","Q3_is_native","Q3_is_native_explain","Q4.1_migrate","Q4.1_migrate_score","Q4.2_wingspan","Q4.2_wingspan_score","Q4.3_globallyrare","Q4.3_globallyrare_score","Q4_overallscore","Q5a_amphibians_diet","Q5b_birdeggs.chicks_diet","Q5c_carrion_diet","Q5d_fish_diet","Q5e_foodwaste_diet","Q5f_fruit_diet","Q5g_inverts_diet","Q5h_reptiles_diet","Q5i_seeds_diet","Q5j_smallmammals_diet","Q5k_vegetation_diet","Q5l_Don.tKnow_diet","Q5_rawscore_diet","Q5_diet_overallscore","Q6a_farmland_habitat","Q6b_grassland_habitat","Q6c_wetlands_habitat","Q6d_woodland_habitat","Q6e_urban_habitat","Q6f_Don.tKnow_habitat","Q6_habitat_rawscore","Q6_habitat_overallscore","Q7a_chimneys_nesting","Q7b_ground_nesting","Q7c_roofs_nesting","Q7d_telegraphpoles_nesting","Q7e_trees_nesting","Q7f_Don.tKnow_nesting","Q7_nesting_rawscore","Q7_nesting_overallscore","KnowledgeScore","Q8_wild_seen","Q8_captivity_seen","Q8_pictures_video","Q8_No","Q8_NotSure","Q8.1_UK","Q8.1_OutsideUK","Q8.2_feelings","Q9_heard","Q9a_what_heard","Q10_project_knowledge","Q10a_WSPwebsite","Q10a_Socialmedia","Q10a_TV.Radio","Q10a_Newspaper","Q10a_Email","Q10a_Magazine","Q10a_Leaflet","Q10a_spokesperson","Q10a_VisitingKnepp","Q10a_Wordofmouth","Q10a_Other","Q10a_Other_open","Q10b_WSPwebsite","Q10b_Socialmedia","Q10b_TV.Radio","Q10b_Newspaper","Q10b_Email","Q10b_Magazine","Q10b_Leaflet","Q10b_spokesperson","Q10b_NotInterested","Q10b_Other","Q10b_Other_open","Q11_word1","Q11_word2","Q11_word3","Q12.1..White.storks.symbolise.the.beauty.of.nature.","Q12.1_agreement_score","Q12.2..White.storks.play.an.important.role.in.their.environment.","Q12.2_agreement_score","Q12.3..Reintroduced.white.storks.may.have.a.negative.impact.on.my.life.","Q12.3_agreement_score","Q12.4..I.do.not.want.white.storks.living.near.me.","Q12.4_agreement_score","Q12.5..White.storks.in.England.could.benefit.the.tourism.industry.where.they.re.found.","Q12.5_agreement_score","Q13.1..I.would.find.it.exciting.to.see.white.storks.in.the.wild.in.England.","Q13.1_agreement_score","Q13.2..White.storks.symbolise.hope..rebirth.and.new.life.","Q13.2_agreement_score","Q13.3..Money.spent.reintroducing.white.storks.would.be.better.spent.elsewhere.","Q13.3_agreement_score","Q13.4..White.storks.might.be.detrimental.to.local.wildlife.","Q13.4_agreement_score","Q13.5..There.is.no.need.to.reintroduce.the.white.stork.to.England.as.it.is.a.common.species.throughout.mainland.Europe.","Q13.5_agreement_score","Q14.1..I.think.white.storks.are.useless.birds.","Q14.1_agreement_score","Q14.2..White.storks.are.part.of.our.cultural.and.natural.heritage.","Q14.2_agreement_score","Q14.3..The.reintroduced.white.stork.can.help.people..re.connect.with.the.natural.world.","Q14.3_agreement_score","Q14.4..The.countryside.will.be.worse.off.with.white.storks.around.","Q14.4_agreement_score","OverallAttitudeScore","Q14.5..Overall..I.support.efforts.that.aim.to.reintroduce.the.UK.s.lost.species.and.restore.its.natural.systems.","Q14.5_agreement_score","Q15_WSP_support","Q15_WSP_support_open","Q16_views_management","Q16_views_management_open","Q17.1_Nest_monitoring","Q17.2_Nesting_platforms","Q17.3_Discouragenestbuilding","Q17.4_Nest_removal","Q17.5_Tracking","Q17.6_Public_engagement","Q17.7_Supplementary_food","Q17.8_compensation_storkdamage","Q17.9_Stork_relocation","Q17.10_Culling","Q17_11.management.not.needed","Q17.12_Don.tknow","Q17.13_other","Q17.13a_other_open","Q18_exp_nature","Q18a_dogwalking","Q18a_walking","Q18a_running.cycling","Q18a.golf","Q18a.picnic","Q18a.horse.riding","Q18a.bird.wildlife.watching","Q18a.photography","Q18a.camping","Q18a.fishing","Q18a.shooting.hunting","Q18a.water.sports.swimming","Q18a.gardening","Q18a.don.t.spend.free.time.in.green.natural.spaces","Q18a_other","Q18a_other_open","Q19.1..I.find.being.in.nature.really.amazing","Q19.1.score","Q19.2..Spending.time.in.nature.is.very.important.to.me","Q19.2.score","Q19.3..Being.in.nature.makes.me.very.happy","Q19.3.score","Q19.4..I.always.find.beauty.in.nature","Q19.4.score","Q19.5..I.always.treat.nature.with.respect","Q19.5.score","Q19.6..I.feel.part.of.nature","Q19.6.score","NCI","Q20.1..Damage.to.the.natural.environment","Q20.2..The.consequences.of.a.loss.of.variety.of.wildlife","EnvConcern.score","Q21.1..When.I.see.litter..I.pick.it.up","Q21.1.score","Q21.2..I.vote.for.nature.or.wildlife.conservation.friendly.legislation.in.local.or.national.referendums.votes.etc.","Q21.2.score","Q21.3..I.get.in.touch.with.local.authorities.on.nature.conservation.issues","Q21.3.score","Q21.4..I.vote.for.parties..candidates.with.strong.pro.nature.conservation.policies.in.elections","Q21.4.score","ProCoBS","Q22....Are.you.a.member.of.any.environmental..wildlife.or.conservation.organisations.","Q22.a..Which.ones...Optional..","Q23.1..I.pay.attention.to.birds.wherever.I.go.","Q23.1..Score","Q23.2..I.can.identify.common.birds.in.my.area.","Q23.2.Score","Q23.3..Seeing.a.new.bird.fills.me.with.excitement.","Q23.3.Score","Q23.4..I.am.not.interested.in.birds.","Q24.4.score","BirdInterestScore","Age_group","Gender","Gender_other","Region","County","Area_type","Postcode","ReleaseSite","Q27_Knepp_visit","Q27.a_Knepp_activity","Q27.a_Knepp_activity_other","Education","Education_other","Occupation","Occupation_other","Q30_Press","Q30_TV.Radio","Q30_Facebook","Q30_Twitter","Q30_Social_media","Q30_Durrell.WSP","Q30_Other_wildlife.nature.org.","Q30_Farming_org.","Q30_Business_org.","Q30_Tourism_org.","Q30_Local_council","Q30_Friend.family","Q30_Researcher","Q30_other","Q30.a_Other_open","Q31_comments","Age_group_match","SecsTaken"
"2796","NatRep","692676-692667-71723437",403,"00:04:30","03/02/2021","09:23:42","03/02/2021","09:28:12","No","A",0,"Yes","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,0,1,0,0,1,0.2,0,0,1,0,0,0,2,0.4,1,0,0,0,1,0,NA,NA,"","No","","I have heard something but don’t know much",0,1,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,0,0,0,0,"","White","Endangered","Save","Strongly disagree",1,"Strongly disagree",1,"Agree",2,"Agree",2,"Strongly disagree",1,"Strongly disagree",1,"Strongly disagree",1,"Neutral",3,"Neutral",3,"Neutral",3,"Disagree",4,"Strongly disagree",1,"Strongly disagree",1,"Disagree",4,2,"Strongly disagree",1,"Yes","","Yes","",1,0,1,0,1,0,1,0,0,0,0,0,0,"","3-4 days",1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,"","Completely disagree",1,"Completely disagree",1,"Completely disagree",1,"Completely disagree",1,"Completely disagree",1,"Completely disagree",1,0,"Concerned","Concerned",8,"Frequently",5,"Frequently",5,"Frequently",5,"Frequently",5,20,"No","","Strongly disagree",1,"Strongly disagree",1,"Strongly disagree",1,"Disagree",4,7,"25-34","Female","","Wales",NA,"Urban","Np20","No","No","","","Postgraduate degree (Masters; Doctorate)","","Office and Administrative Support","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",76
"2798","NatRep","692676-692667-71723536",405,"00:03:33","03/02/2021","09:24:45","03/02/2021","09:28:18","Yes","B",1,"Yes","","FALSE",0,"Don't know",0,"TRUE",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,2,0,0,0,1,0,NA,NA,"","No","","I have heard something but don’t know much",0,1,0,0,1,0,1,0,0,0,0,"",0,1,0,0,1,0,0,0,0,0,"","Majestic","Tall","Rare","Disagree",2,"Agree",4,"Neutral",3,"Disagree",4,"Neutral",3,"Disagree",2,"Disagree",2,"Agree",2,"Agree",2,"Neutral",3,"Disagree",4,"Neutral",3,"Neutral",3,"Disagree",4,2.93,"Neutral",3,"Yes","","No","",1,0,0,0,0,0,0,1,1,0,0,0,0,"","1-2 days",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"","Strongly disagree",2,"Neither agree or disagree",4,"Disagree",3,"Disagree",3,"Strongly disagree",2,"Strongly disagree",2,9,"Concerned","Extremely concerned",9,"Rarely",2,"Occasionally",3,"Occasionally",3,"Sometimes",4,12,"No","","Disagree",2,"Agree",4,"Neither agree or disagree",3,"Disagree",4,13,"18-24","Female","","Yorkshire and the Humber",NA,"Urban","S8","No","No","","","Undergraduate degree","","Business & Finance","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","18-24",44
"2802","NatRep","692676-692667-71723444",409,"00:05:04","03/02/2021","09:23:45","03/02/2021","09:28:49","No","D",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4,0,0,0,0,1,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","Bird","Large","White","Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,3,"Neutral",3,"Not sure","","Not interested","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,59,"Concerned","Concerned",8,"Sometimes",4,"Rarely",2,"Rarely",2,"Rarely",2,10,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,12,"55-64","Male","","Yorkshire and the Humber",NA,"Urban","HX2 ","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Retired","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","55-64",99
"2803","NatRep","692676-692667-71723526",410,"00:04:14","03/02/2021","09:24:38","03/02/2021","09:28:52","Yes","E",0,"No","","Don't know",0,"Don't know",0,"Don't know",0,0,1,1,0,1,0,0,1,1,0,1,0,0,9,0.8,0,0,0,1,0,0,1,0.2,0,0,0,0,1,0,2,0.4,1.4,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","","","","Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Strongly agree",5,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,NA,"Don't know",NA,"Not sure","","Not sure","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,100,"Concerned","Extremely concerned",9,"Never",1,"Never",1,"Never",1,"Never",1,4,"No","","Agree",4,"Strongly disagree",1,"Agree",4,"Strongly disagree",5,14,"55-64","Female","","North West",NA,"Sub-urban","M46","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Unemployed","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","55-64",66
"2811","NatRep","692676-692667-71723620",418,"00:04:49","03/02/2021","09:25:48","03/02/2021","09:30:37","No","Don't know",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,0.5,0,0,1,0,0,0,3,0.6,0,0,1,1,0,0,3,0.6,1.7,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","","","","Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Disagree",4,"Neutral",3,"Disagree",4,"Neutral",3,"Neutral",3,"Neutral",3,3.14,"Neutral",3,"Not sure","","Not interested","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","5-6 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Completely agree",7,"Agree",5,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,87,"Concerned","Extremely concerned",9,"Occasionally",3,"Rarely",2,"Rarely",2,"Rarely",2,9,"No","","Strongly disagree",1,"Strongly disagree",1,"Neither agree or disagree",3,"Neither agree or disagree",3,8,"35-44","Female","","North East",NA,"Sub-urban","SR2","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Prefer not to answer","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","35-44",89
"2816","NatRep","692676-692667-71723789",423,"00:03:01","03/02/2021","09:27:45","03/02/2021","09:30:46","No","C",0,"Not sure","","FALSE",0,"TRUE",1,"Don't know",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,NA,NA,"","Not sure","","I have heard something but don’t know much",0,0,1,0,0,0,0,0,0,0,0,"",0,0,1,0,0,0,0,0,0,0,"","","","","Neutral",3,"Disagree",2,"Disagree",4,"Neutral",3,"Neutral",3,"Neutral",3,"Disagree",2,"Disagree",4,"Neutral",3,"Neutral",3,"Neutral",3,"Disagree",2,"Disagree",2,"Neutral",3,2.86,"Neutral",3,"Not sure","","Not sure","",0,1,0,0,1,0,0,0,0,0,0,0,0,"","3-4 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Disagree",3,"Strongly disagree",2,"Strongly disagree",2,"Completely disagree",1,"Strongly disagree",2,"Strongly disagree",2,5,"Not very concerned","Not at all concerned",3,"Rarely",2,"Occasionally",3,"Occasionally",3,"Rarely",2,10,"No","","Neither agree or disagree",3,"Disagree",2,"Neither agree or disagree",3,"Neither agree or disagree",3,11,"25-34","Female","","Wales",NA,"Urban","Cf33","No","No","","","Undergraduate degree","","Community & Social Service","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",24
"2821","NatRep","692676-692667-71723681",428,"00:04:59","03/02/2021","09:26:33","03/02/2021","09:31:32","No","D",0,"Yes","","Don't know",0,"TRUE",1,"TRUE",0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,2,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,0,0,0,0,0,0,0,"","Bird","White","","Agree",4,"Agree",4,"Strongly disagree",5,"Agree",2,"Agree",4,"Agree",4,"Agree",4,"Agree",2,"Disagree",4,"Disagree",4,"Strongly disagree",5,"Agree",4,"Agree",4,"Disagree",4,3.86,"Agree",4,"Yes","","No","",0,1,0,0,0,1,1,0,0,0,0,0,0,"","1-2 days",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,34,"Concerned","Concerned",8,"Rarely",2,"Rarely",2,"Rarely",2,"Rarely",2,8,"No","","Agree",4,"Disagree",2,"Agree",4,"Agree",2,12,"18-24","Female","","South East",NA,"Urban","Me4","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Community & Social Service","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","18-24",95
"2823","NatRep","692676-692667-71723926",430,"00:02:30","03/02/2021","09:29:43","03/02/2021","09:32:13","Yes","D",0,"No","Because I think they are american","Don't know",0,"FALSE",0,"TRUE",0,0,1,0,1,1,0,0,1,1,0,0,0,0,8,0.7,1,1,0,0,0,0,4,0.8,0,0,0,0,1,0,2,0.4,1.9,0,1,0,0,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","Bird","","","Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Agree",2,2.93,"Neutral",3,"Not sure","","Not sure","",0,0,0,0,0,1,0,0,0,0,0,0,0,"","1-2 days",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","Disagree",3,"Disagree",3,"Disagree",3,"Disagree",3,"Disagree",3,"Disagree",3,11,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Occasionally",3,"Occasionally",3,"Occasionally",3,"Occasionally",3,12,"Yes","","Agree",4,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,13,"25-34","Female","","South East",NA,"Urban","Po9","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Unemployed","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Don’t know ","25-34",10
"2825","NatRep","692676-692667-71723838",432,"00:04:01","03/02/2021","09:28:25","03/02/2021","09:32:26","No","D",0,"Not sure","","Don't know",0,"TRUE",1,"Don't know",0,1,1,0,0,1,0,0,1,0,0,0,0,0,6,0.5,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,2.1,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,1,0,0,0,0,0,0,"","","","","Neutral",3,"Don't know",NA,"Don't know",NA,"Disagree",4,"Don't know",NA,"Neutral",3,"Agree",4,"Agree",2,"Agree",2,"Agree",2,"Neutral",3,"Disagree",2,"Neutral",3,"Don't know",NA,NA,"Neutral",3,"Not sure","","Not interested","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","5-6 days",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Agree",5,"Completely agree",7,"Completely agree",7,"Strongly agree",6,"Completely agree",7,"Neither agree or disagree",4,64,"Concerned","Concerned",8,"Rarely",2,"Occasionally",3,"Never",1,"Never",1,7,"No","","Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Disagree",4,19,"45-54","Male","","Yorkshire and the Humber",NA,"Sub-urban","S66","No","No","","","Undergraduate degree","","Computer & Mathematical","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","45-54",57
"2827","NatRep","692676-692667-71723786",434,"00:05:05","03/02/2021","09:27:44","03/02/2021","09:32:49","No","Don't know",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0.4,0.9,0,0,1,0,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","","","","Agree",4,"Agree",4,"Strongly disagree",5,"Strongly disagree",5,"Agree",4,"Agree",4,"Neutral",3,"Disagree",4,"Don't know",NA,"Disagree",4,"Disagree",4,"Neutral",3,"Agree",4,"Don't know",NA,NA,"Agree",4,"Yes","","No","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Agree",5,"Neither agree or disagree",4,"Agree",5,"Agree",5,"Agree",5,"Agree",5,31,"Concerned","Concerned",8,"Sometimes",4,"Sometimes",4,"Rarely",2,"Occasionally",3,13,"No","","Disagree",2,"Disagree",2,"Neither agree or disagree",3,"Neither agree or disagree",3,10,"35-44","Male","","West Midlands",NA,"Urban","Cv2","No","No","","","Undergraduate degree","","Business & Finance","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","35-44",100
"2838","NatRep","692676-692667-71723940",445,"00:04:21","03/02/2021","09:29:53","03/02/2021","09:34:14","Yes","Don't know",0,"Not sure","Im not sure ","TRUE",1,"TRUE",1,"TRUE",0,2,0,0,0,1,0,0,1,0,0,0,1,0,4,0.4,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,3,0,0,0,0,1,NA,NA,"","Not sure","","I know something about it",0,0,1,0,0,0,0,0,0,0,0,"",0,0,1,0,0,0,0,0,0,0,"","Big","Fresh","Wetlands","Disagree",2,"Strongly disagree",1,"Strongly disagree",5,"Neutral",3,"Disagree",2,"Strongly agree",5,"Strongly agree",5,"Strongly agree",1,"Strongly agree",1,"Strongly agree",1,"Strongly agree",1,"Agree",4,"Strongly agree",5,"Strongly agree",1,2.64,"Strongly agree",5,"Not sure","Wildlife","Yes","Different ",1,0,0,1,0,0,0,0,0,0,0,0,0,"","1-2 days",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Strongly disagree",2,"Completely disagree",1,"Strongly disagree",2,"Completely disagree",1,"Completely disagree",1,"Completely disagree",1,2,"Concerned","Concerned",8,"Occasionally",3,"Occasionally",3,"Occasionally",3,"Occasionally",3,12,"No","","Agree",4,"Strongly agree",5,"Agree",4,"Agree",2,15,"35-44","Male","","North West",NA,"Sub-urban","L10","No","No","","","Undergraduate degree","","Hospitality","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","35-44",70
"2846","NatRep","692676-692667-71723988",453,"00:05:18","03/02/2021","09:30:30","03/02/2021","09:35:48","Yes","B",1,"Yes","No","TRUE",1,"TRUE",1,"TRUE",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,"Chimney in Bulgaria on churchs top","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,1,1,1,0,0,0,0,0,0,"","Big","Wild","White","Strongly agree",5,"Strongly agree",5,"Strongly agree",1,"Strongly agree",1,"Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",1,"Strongly agree",1,"Strongly disagree",5,"Strongly disagree",5,"Strongly agree",5,"Strongly agree",5,"Strongly disagree",5,3.86,"Agree",4,"Yes","Great tourism","Not sure","",1,0,0,1,1,0,0,0,0,0,0,0,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Neither agree or disagree",4,"Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,31,"Concerned","Concerned",8,"Sometimes",4,"Occasionally",3,"Occasionally",3,"Occasionally",3,13,"No","","Strongly agree",5,"Strongly agree",5,"Agree",4,"Agree",2,16,"55-64","Male","","South West",NA,"Sub-urban","SP7","No","No","","","Undergraduate degree","","Other","Housesitter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Great idea","55-64",112
"2857","NatRep","692676-692667-71724234",464,"00:03:40","03/02/2021","09:33:56","03/02/2021","09:37:36","No","B",1,"Not sure","Yenetnt3","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,1,0,1,1,0,0,4,0.8,2.8,0,1,0,0,0,NA,NA,"","Not sure","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","","","","Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,NA,"Don't know",NA,"Not sure","TV ncn","Not interested","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","None",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,100,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Rarely",2,"Never",1,"Never",1,"Never",1,5,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,12,"25-34","Male","","South East",NA,"Sub-urban","Po5","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Office and Administrative Support","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",48
"2861","NatRep","692676-692667-71724448",468,"00:02:56","03/02/2021","09:36:23","03/02/2021","09:39:19","No","Don't know",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,1,0,0,1,0,0,1,0,1,1,1,0,5,0.5,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,1.1,1,0,0,0,0,1,1,"","Not sure","","I have heard something but don’t know much",0,0,0,0,0,0,0,0,0,1,0,"",0,0,0,0,0,0,0,0,1,0,"","","","","Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,3,"Neutral",3,"Not sure","","Not sure","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","5-6 days",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Agree",5,"Agree",5,"Agree",5,"Strongly agree",6,"Strongly agree",6,"Agree",5,40,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Occasionally",3,"Occasionally",3,"Occasionally",3,"Occasionally",3,12,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,12,"25-34","Female","","South East",NA,"Urban","ME10","No","No","","","No formal qualifications","","Production","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",22
"2865","NatRep","692676-692667-71724299",472,"00:05:12","03/02/2021","09:34:39","03/02/2021","09:39:51","No","D",0,"Not sure","Ok","TRUE",1,"FALSE",0,"FALSE",1,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,"Great","Yes"," Could","I have heard something but don’t know much",0,1,0,0,0,0,0,0,0,0,0,"",0,0,1,0,0,0,0,0,0,0,"","Cool","Like","","Neutral",3,"Disagree",2,"Disagree",4,"Neutral",3,"Neutral",3,"Neutral",3,"Disagree",2,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Agree",4,"Agree",2,2.93,"Neutral",3,"Yes","Great","Not sure","Could",0,1,0,0,0,0,0,0,0,0,0,0,0,"","1-2 days",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Completely disagree",1,"Disagree",3,"Strongly agree",6,"Strongly agree",6,"Agree",5,"Agree",5,32,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Sometimes",4,"Occasionally",3,"Sometimes",4,"Sometimes",4,15,"Yes","Could","Neither agree or disagree",3,"Neither agree or disagree",3,"Agree",4,"Agree",2,12,"55-64","Male","","Greater London",NA,"Urban","Ha8","No","Yes","Guided safari","","Further Education","","Business & Finance","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Could","55-64",107
